"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5248651,ProductName,"Insurance Company",GC000003702319,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5216538,ProductName,"Insurance Company",GC52555212577,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5216538,ProductName,"Insurance Company",GC523352515816,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5216538,ProductName,"Insurance Company",GC521358562493,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5211415,ProductName,"Insurance Company",GC52522639729,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5211415,ProductName,"Insurance Company",GC521535347229,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5211415,ProductName,"Insurance Company",GC522397665798,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5242644,ProductName,"Insurance Company",GC000040142227,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5226147,ProductName,"Insurance Company",GC527447127243,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5226147,ProductName,"Insurance Company",GC524872826552,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",5293335,ProductName,"Insurance Company",GC52725714962,"14/10/2022 to 09/10/2023",SGD,0.30,none,PAID
"2022-10-14 00:00:00",40200000000000,"TEST Arjun",a4d5f965-0df7-43f7-9ae1-23afcacf40cf-1649907777,ProductName,"Insurance Company",GC52272424469,"14/10/2022 to 09/10/2023",SGD,0.50,none,PAID
