"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001473810,"27/04/2022 to 21/04/2023",SGD,0.30,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001473885,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001474115,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001474328,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001474422,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001474531,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001474600,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001473825,"27/04/2022 to 21/04/2023",SGD,0.30,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001473830,"27/04/2022 to 21/04/2023",SGD,0.30,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001473890,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
"2022-04-27 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001473909,"27/04/2022 to 21/04/2023",SGD,0.10,none,PAID
