Transaction Date,Payment Ref,Payer Name,Open ID,Product Name,Insurance Company,Policy Number,Coverage Period,Currency,Charge Amount,Promotion Type,Status
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC521619497922,25/08/2020 to 25/08/2021,SGD,0.5,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC522346611041,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC523271470690,04/09/2020 to 25/08/2021,SGD,0.3,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC523786003844,25/08/2020 to 25/08/2021,SGD,0.3,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC524868080395,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC525552505921,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC526121559080,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC527296863982,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC527645499708,25/08/2020 to 25/08/2021,SGD,0.5,Free Policy,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5236597,ProductName,Insurance Company,GC527946766014,25/08/2020 to 25/08/2021,SGD,0.3,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC520560308866,25/08/2020 to 25/08/2021,SGD,0.3,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC521783562211,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC522789048397,04/09/2020 to 25/08/2021,SGD,0.3,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC523248488069,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC524511980229,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC525261753175,25/08/2020 to 25/08/2021,SGD,0.5,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC526730720233,25/08/2020 to 25/08/2021,SGD,0.5,Free Policy,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC527763975583,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC529159532194,25/08/2020 to 25/08/2021,SGD,0.1,none,PAID
23/07/2019 09:31:00,4.02E+13,TEST Arjun,5211927,ProductName,Insurance Company,GC529867537089,25/08/2020 to 25/08/2021,SGD,0.3,none,PAID
