"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374807,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374892,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375122,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375231,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375246,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375291,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375395,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375479,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375568,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493683,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493727,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493792,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494126,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494255,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494339,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494448,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374812,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374827,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374901,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374916,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375300,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375335,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375404,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
